country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,Case_Fatality_Rate_Percent,Recovery_Rate_Percent,Testing_Rate_Percent
Sweden,Europe,2504894,18864.0,2477725.0,8305.0,9.0,245180,1846.0,18553837.0,1816057.0,10216549,0.7530857593175599,98.91536328483362,181.6057163725246
Switzerland,Europe,3631881,13882.0,3551493.0,66506.0,78.0,414008,1582.0,20927607.0,2385592.0,8772500,0.3822261797674538,97.78660148831969,238.5592134511257
Syria,Asia,55869,3150.0,52479.0,240.0,0.0,3054,172.0,146269.0,7996.0,18292142,5.638189335767599,93.9322343338882,0.799627512185287
Taiwan,Asia,768543,1068.0,60634.0,706841.0,0.0,32161,45.0,16207475.0,678221.0,23897056,0.13896424793407786,7.889473978684341,67.82205724420615
Tajikistan,Asia,17388,124.0,17264.0,0.0,0.0,1750,12.0,0.0,0.0,9936493,0.7131354957441914,99.28686450425582,0.0
Tanzania,Africa,35354,840.0,0.0,0.0,7.0,562,13.0,0.0,0.0,62901456,2.375968772981841,0.0,0.0
Thailand,Asia,4373846,29475.0,4273599.0,70772.0,1496.0,62371,420.0,17270775.0,246281.0,70126166,0.6738920391801632,97.70803544523515,24.62814664643152
Timor Leste,Asia,22889,131.0,22746.0,12.0,0.0,16766,96.0,264799.0,193963.0,1365204,0.5723273187994233,99.37524575123422,19.39629535219645
Togo,Africa,37023,273.0,36727.0,23.0,0.0,4285,32.0,735638.0,85144.0,8639966,0.737379466817924,99.2004969883586,8.514362209295731
Tonga,Australia/Oceania,11049,11.0,10110.0,928.0,0.0,102376,102.0,518262.0,4802012.0,107926,0.09955652095212236,91.50149334781428,480.20124900394717
Trinidad And Tobago,North America,154643,3871.0,141354.0,9418.0,18.0,109837,2749.0,726218.0,515806.0,1407928,2.5031847545637373,91.40665920862891,51.58062059991704
Tunisia,Africa,1041197,28575.0,0.0,0.0,29.0,86414,2372.0,4592916.0,381189.0,12048936,2.7444374119402957,0.0,38.118851324299506
Turkey,Asia,15053168,98890.0,14951238.0,3040.0,975.0,174977,1149.0,160622710.0,1867071.0,86029250,0.6569381275755376,99.32286678790804,186.7070909022222
Turks And Caicos Islands,North America,6046,36.0,5963.0,47.0,4.0,152323,907.0,505354.0,12731886.0,39692,0.5954349983460139,98.62719153159112,1273.1885518492393
Uganda,Africa,164069,3596.0,100205.0,60268.0,2.0,3388,74.0,2612795.0,53950.0,48429823,2.1917607835727653,61.07491360342296,5.395012490547405
UK,Europe,22159805,176708.0,21677896.0,305201.0,253.0,323264,2578.0,519264096.0,7574950.0,68550166,0.7974257896222463,97.82530126054809,757.4950234256179
Ukraine,Europe,5006460,108449.0,0.0,0.0,177.0,115771,2508.0,19521252.0,451415.0,43244553,2.1661812937684513,0.0,45.141527997757315
United Arab Emirates,Asia,902484,2302.0,886128.0,14054.0,0.0,89240,228.0,159103283.0,15732628.0,10112950,0.25507377416109317,98.18766870105176,1573.262826376082
Uruguay,South America,902540,7213.0,892434.0,2893.0,18.0,258152,2063.0,6114822.0,1749015.0,3496151,0.7991889556141557,98.88027123451593,174.90154172402737
USA,North America,84209473,1026646.0,81244260.0,1938567.0,1941.0,251659,3068.0,1016882505.0,3038939.0,334617623,1.2191573743728332,96.47876551845896,303.89388815902265
Uzbekistan,Asia,238802,1637.0,236974.0,191.0,23.0,6947,48.0,1377915.0,40088.0,34372515,0.6855051465230609,99.23451227376655,4.008769797613006
Vanuatu,Australia/Oceania,8457,14.0,7974.0,469.0,0.0,26386,44.0,24976.0,77926.0,320508,0.16554333688069056,94.28875487761617,7.792629201143185
